PLAYER,TEAM,GP,W,L,MIN,Touches,Elbow Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Terrence Ross,PHX,4,2,2,40,37,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Thanasis Antetokounmpo,MIL,2,1,1,5,5,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tobias Harris,PHI,8,6,2,279,361,2,2,2,100.0,0,0,0.0,6,300.0,0,0.0,0,0.0,0,0.0,0,0.0
Torrey Craig,PHX,9,6,3,166,212,10,4,6,66.7,1,2,50.0,9,90.0,3,30.0,0,0.0,0,0.0,1,10.0
Trae Young,ATL,6,2,4,230,539,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Trey Lyles,SAC,7,3,4,118,184,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tristan Thompson,LAL,2,1,1,18,23,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Troy Brown Jr.,LAL,9,6,3,117,116,2,0,0,0.0,0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0
Tyler Herro,MIA,1,1,0,19,23,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tyrese Maxey,PHI,8,6,2,299,571,2,0,1,0.0,0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0
Tyus Jones,MEM,6,2,4,120,269,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Udonis Haslem,MIA,1,1,0,2,3,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Victor Oladipo,MIA,2,1,1,45,57,1,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
Vlatko Cancar,DEN,2,2,0,5,14,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Wendell Moore Jr.,MIN,1,0,1,2,1,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Wenyen Gabriel,LAL,8,5,3,32,38,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Wesley Matthews,MIL,2,0,2,41,34,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Xavier Tillman,MEM,6,2,4,183,255,33,9,14,64.3,0,0,0.0,18,54.5,17,51.5,6,35.3,0,0.0,0,0.0
Yuta Watanabe,BKN,1,0,1,5,10,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Zeke Nnaji,DEN,2,2,0,7,11,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Ziaire Williams,MEM,4,2,2,12,19,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
