Name,Minutes,Points,FG2M,FG2A,FG3M,FG3A,TsPct,AssistPoints,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,OffensiveGoaltends,FTA,OffPoss,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,DefPoss,TotalPoss
Jaylin Williams,120,35.0,6.0,10.0,6.0,20.0,0.5147058823529411,35.0,1.0,4.0,2.0,4.0,3.0,1.0,2.0,1.0,2.0,7.0,,,2.0,,9.0,,9.0,256,12.0,,18.0,,261,517
Kevon Looney,120,26.0,10.0,23.0,,,0.48148148148148145,10.0,2.0,,,,2.0,2.0,1.0,,,1.0,,1.0,,,2.0,,8.0,229,10.0,10.0,,,240,469
Bogdan Bogdanović,117,45.0,9.0,20.0,7.0,24.0,0.4787234042553192,39.0,3.0,3.0,,2.0,7.0,1.0,4.0,,1.0,7.0,1.0,3.0,,1.0,11.0,,7.0,231,10.0,8.0,15.0,6.0,228,459
Thomas Bryant,117,31.0,6.0,12.0,4.0,8.0,0.6458333333333334,7.0,1.0,,1.0,,1.0,,3.0,,3.0,4.0,,,,,7.0,,8.0,230,10.0,2.0,12.0,,234,464
Sam Hauser,108,28.0,3.0,3.0,7.0,21.0,0.5833333333333334,9.0,3.0,,,,1.0,,2.0,,2.0,1.0,,,,,3.0,,1.0,200,6.0,,21.0,,204,404
Zach Edey,108,25.0,10.0,15.0,,,0.6578947368421053,19.0,,1.0,1.0,,5.0,,2.0,,1.0,4.0,1.0,1.0,,,6.0,,7.0,222,16.0,4.0,,,223,445
Kyle Kuzma,102,29.0,10.0,25.0,2.0,10.0,0.3815789473684211,10.0,2.0,,,1.0,1.0,,,1.0,,3.0,,,,,3.0,,6.0,212,12.0,8.0,6.0,,208,420
Cameron Payne,102,30.0,7.0,16.0,5.0,21.0,0.39473684210526316,21.0,4.0,2.0,,1.0,2.0,3.0,4.0,,2.0,3.0,2.0,2.0,,,7.0,,3.0,197,4.0,10.0,15.0,,202,399
Gabe Vincent,99,14.0,1.0,1.0,4.0,13.0,0.5,11.0,3.0,1.0,,,1.0,,,,,1.0,,,,,1.0,,,202,,2.0,12.0,,196,398
Jarace Walker,96,28.0,4.0,13.0,6.0,16.0,0.45161290322580644,16.0,4.0,3.0,1.0,,,1.0,4.0,,3.0,1.0,,1.0,,,5.0,,4.0,200,6.0,2.0,15.0,3.0,202,402
Anthony Black,89,41.0,13.0,24.0,2.0,13.0,0.4880952380952381,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,2.0,,13.0,163,14.0,12.0,6.0,,160,323
Julian Strawther,88,38.0,7.0,18.0,6.0,12.0,0.5757575757575758,4.0,1.0,1.0,,,,2.0,3.0,2.0,2.0,2.0,,1.0,,,5.0,,7.0,183,14.0,,12.0,6.0,176,359
Haywood Highsmith,84,29.0,4.0,4.0,7.0,15.0,0.7631578947368421,11.0,,1.0,,1.0,2.0,2.0,4.0,,1.0,,,3.0,,,4.0,,,154,6.0,2.0,21.0,,159,313
Gary Harris,83,7.0,2.0,2.0,1.0,6.0,0.4375,7.0,1.0,1.0,,,1.0,3.0,,,,,,,,,,,,148,2.0,2.0,3.0,,147,295
Ja Morant,82,55.0,18.0,37.0,4.0,16.0,0.47413793103448276,37.0,6.0,2.0,,4.0,3.0,,3.0,1.0,2.0,3.0,1.0,1.0,,1.0,6.0,,11.0,172,2.0,34.0,9.0,3.0,174,346
Luke Kennard,80,18.0,6.0,9.0,2.0,9.0,0.5,19.0,2.0,2.0,1.0,,3.0,1.0,4.0,2.0,3.0,2.0,,1.0,,,6.0,,,169,6.0,6.0,6.0,,166,335
Trayce Jackson-Davis,80,37.0,16.0,18.0,,,0.7708333333333334,5.0,,,1.0,,1.0,2.0,,1.0,,1.0,,,,,1.0,,13.0,159,18.0,14.0,,,161,320
Nikola Jović,75,38.0,7.0,11.0,6.0,24.0,0.5,15.0,2.0,1.0,,2.0,1.0,1.0,4.0,1.0,2.0,1.0,,2.0,,,5.0,,6.0,148,8.0,6.0,18.0,,149,297
Damian Lillard,75,21.0,3.0,11.0,3.0,16.0,0.35,35.0,4.0,3.0,,2.0,5.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,3.0,,7.0,150,,6.0,6.0,3.0,153,303
Brook Lopez,74,25.0,4.0,7.0,4.0,15.0,0.5208333333333334,9.0,2.0,1.0,,,1.0,,1.0,1.0,1.0,3.0,,,,,4.0,,5.0,153,6.0,2.0,12.0,,153,306
Kel'el Ware,73,19.0,5.0,7.0,3.0,11.0,0.5277777777777778,10.0,2.0,,,,2.0,,2.0,,1.0,,,1.0,,,2.0,,,139,6.0,4.0,9.0,,141,280
Gui Santos,72,26.0,5.0,7.0,4.0,10.0,0.65,19.0,4.0,1.0,,1.0,2.0,2.0,5.0,,3.0,1.0,1.0,2.0,,,6.0,,6.0,150,6.0,4.0,12.0,,146,296
Jonathan Isaac,69,18.0,6.0,8.0,1.0,4.0,0.6428571428571429,5.0,1.0,,,,1.0,2.0,1.0,,,1.0,1.0,1.0,,,2.0,,5.0,124,12.0,,3.0,,122,246
John Konchar,69,11.0,2.0,3.0,1.0,6.0,0.5,14.0,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,2.0,,4.0,150,4.0,,3.0,,148,298
Pat Spencer,63,36.0,15.0,22.0,1.0,3.0,0.6923076923076923,14.0,1.0,3.0,,,2.0,2.0,4.0,1.0,4.0,2.0,,,,,6.0,,3.0,132,12.0,18.0,3.0,,127,259
Kenrich Williams,62,27.0,9.0,15.0,2.0,12.0,0.46551724137931033,8.0,1.0,,,,2.0,1.0,1.0,1.0,,3.0,,1.0,,1.0,4.0,,4.0,135,8.0,10.0,6.0,,139,274
Taurean Prince,61,6.0,,1.0,2.0,9.0,0.3,18.0,3.0,3.0,,,2.0,,3.0,,2.0,2.0,,1.0,,1.0,5.0,,,125,,,6.0,,125,250
Jarred Vanderbilt,60,7.0,2.0,5.0,,1.0,0.4375,14.0,1.0,,,2.0,2.0,1.0,1.0,,,2.0,,1.0,,1.0,3.0,,4.0,117,2.0,2.0,,,119,236
Ajay Mitchell,59,35.0,9.0,16.0,5.0,11.0,0.625,10.0,2.0,,,1.0,1.0,1.0,,,,2.0,,,,1.0,2.0,,3.0,131,4.0,14.0,12.0,3.0,130,261
Duncan Robinson,59,17.0,1.0,2.0,4.0,12.0,0.53125,2.0,,1.0,,,,,5.0,1.0,4.0,1.0,,1.0,,,6.0,,4.0,114,2.0,,12.0,,113,227
Jericho Sims,58,14.0,6.0,6.0,,,1.0,3.0,,,,,1.0,,2.0,,1.0,3.0,1.0,1.0,,,5.0,,3.0,118,10.0,2.0,,,120,238
Jalen Pickett,57,13.0,2.0,6.0,3.0,9.0,0.43333333333333335,11.0,,2.0,2.0,,1.0,,4.0,1.0,3.0,2.0,1.0,1.0,,,6.0,,,114,4.0,,3.0,6.0,114,228
Paul Reed,53,14.0,5.0,8.0,,,0.6363636363636364,2.0,1.0,,,,,3.0,4.0,,2.0,1.0,1.0,2.0,,,5.0,,6.0,108,4.0,6.0,,,107,215
Pelle Larsson,52,20.0,5.0,7.0,3.0,8.0,0.625,9.0,3.0,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,2.0,,3.0,103,6.0,4.0,9.0,,102,205
Cole Anthony,51,11.0,4.0,8.0,,6.0,0.34375,13.0,3.0,1.0,1.0,,1.0,,8.0,,7.0,1.0,,1.0,1.0,,9.0,,4.0,94,8.0,,,,85,179
Caleb Houstan,47,6.0,,4.0,2.0,10.0,0.21428571428571427,2.0,1.0,,,,,,1.0,,1.0,1.0,,,,,2.0,,,90,,,6.0,,90,180
Ben Simmons,42,4.0,2.0,6.0,,,0.3333333333333333,8.0,3.0,1.0,,,,,1.0,,1.0,1.0,,,,,2.0,,,86,2.0,2.0,,,85,171
Javonte Green,39,15.0,3.0,5.0,1.0,5.0,0.5769230769230769,6.0,,,,2.0,,1.0,1.0,1.0,,1.0,,1.0,,,2.0,,6.0,81,2.0,4.0,3.0,,84,165
Kevin Knox II,38,21.0,7.0,14.0,1.0,6.0,0.4772727272727273,9.0,1.0,2.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,2.0,,5.0,82,12.0,2.0,3.0,,80,162
Vince Williams Jr.,38,14.0,,,4.0,7.0,0.875,8.0,1.0,3.0,,,,1.0,3.0,,3.0,,,,,,3.0,,2.0,86,,,12.0,,86,172
DeAndre Jordan,36,6.0,3.0,3.0,,,0.6,4.0,1.0,,1.0,,,,,,,2.0,,,,,2.0,,4.0,67,6.0,,,,69,136
Craig Porter Jr.,35,12.0,6.0,9.0,,3.0,0.5,24.0,1.0,2.0,,4.0,2.0,1.0,2.0,,1.0,,,1.0,,,2.0,,,73,2.0,10.0,,,74,147
Zeke Nnaji,34,7.0,,2.0,1.0,6.0,0.3181818181818182,4.0,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,,,2.0,,7.0,73,,,3.0,,74,147
Terrence Shannon Jr.,34,21.0,7.0,13.0,1.0,3.0,0.6176470588235294,6.0,2.0,1.0,,,,3.0,,,,,,,,,,,4.0,74,12.0,2.0,3.0,,73,147
Ronald Holland II,34,9.0,,2.0,,3.0,0.45,,,,,,,,2.0,2.0,2.0,4.0,,,,1.0,6.0,,10.0,64,,,,,66,130
Dillon Jones,32,19.0,4.0,5.0,3.0,4.0,0.95,9.0,,,,2.0,1.0,,2.0,1.0,1.0,2.0,,1.0,1.0,,4.0,,2.0,73,4.0,4.0,9.0,,74,147
Jordan Goodwin,31,3.0,1.0,3.0,,2.0,0.25,5.0,,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,,2.0,62,2.0,,,,60,122
Jaylon Tyson,31,24.0,2.0,6.0,5.0,9.0,0.6666666666666666,15.0,4.0,2.0,,1.0,,,1.0,,1.0,1.0,,,,1.0,2.0,,6.0,62,4.0,,15.0,,63,125
Jaxson Hayes,31,7.0,3.0,8.0,,,0.3888888888888889,2.0,1.0,,,,,,,,,1.0,,,,,1.0,,2.0,55,6.0,,,,54,109
Hunter Tyson,30,15.0,4.0,5.0,1.0,5.0,0.625,5.0,1.0,,,,1.0,,,,,1.0,1.0,,,,1.0,,4.0,63,4.0,4.0,,3.0,61,124
Landry Shamet,30,3.0,1.0,2.0,,2.0,0.25,2.0,1.0,,,,,,1.0,1.0,,1.0,,1.0,,,2.0,,4.0,57,2.0,,,,56,113
Ryan Rollins,30,10.0,2.0,6.0,2.0,7.0,0.38461538461538464,9.0,3.0,,,1.0,,,,,,,,,,,,,,59,2.0,2.0,6.0,,58,117
Tristan Thompson,29,7.0,3.0,6.0,,,0.5,3.0,,,,,1.0,,,,,2.0,,,,,2.0,,3.0,60,4.0,2.0,,,60,120
Marvin Bagley III,28,17.0,7.0,8.0,1.0,1.0,0.9444444444444444,,,,,,,1.0,1.0,,1.0,2.0,,,,,3.0,,,60,10.0,4.0,3.0,,61,121
Aaron Holiday,27,12.0,2.0,5.0,2.0,5.0,0.5,7.0,,,2.0,1.0,,,1.0,,1.0,,,,,,1.0,,4.0,56,2.0,2.0,3.0,3.0,58,114
Tony Bradley,24,1.0,,1.0,,,0.25,5.0,,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,,2.0,50,,,,,50,100
Precious Achiuwa,24,12.0,5.0,11.0,,1.0,0.46153846153846156,,,,,,,,1.0,,,,,1.0,,,1.0,,3.0,43,4.0,6.0,,,44,87
Braxton Key,23,2.0,1.0,7.0,,1.0,0.125,2.0,1.0,,,,,,2.0,1.0,,1.0,,2.0,,,3.0,,,51,2.0,,,,51,102
Baylor Scheierman,22,8.0,1.0,5.0,2.0,5.0,0.4,,,,,,,,1.0,,,,,1.0,,,1.0,,,41,2.0,,6.0,,42,83
Ousmane Dieng,22,8.0,,2.0,2.0,3.0,0.6666666666666666,2.0,,1.0,,,,,,,,,,,,,,,2.0,48,,,3.0,3.0,49,97
Jaylen Clark,22,9.0,3.0,3.0,,1.0,0.75,3.0,,,,,1.0,,1.0,,1.0,,,,,,1.0,,4.0,46,2.0,4.0,,,46,92
Torrey Craig,21,6.0,,1.0,2.0,3.0,0.75,6.0,2.0,,1.0,,,,1.0,,1.0,,,,,,1.0,,,37,,,6.0,,39,76
Johnny Furphy,20,,,1.0,,2.0,,2.0,,1.0,,,,,,,,,,,,,,,,43,,,,,44,87
Jaime Jaquez Jr.,19,4.0,1.0,4.0,,2.0,0.2857142857142857,3.0,,,,,1.0,,1.0,,,,,1.0,,,1.0,,2.0,39,,2.0,,,38,77
Isaiah Stewart,19,2.0,1.0,2.0,,,0.5,3.0,,,,,1.0,,,,,,,,,,,,,40,,2.0,,,41,81
Jay Huff,18,8.0,2.0,3.0,,1.0,0.6666666666666666,2.0,,1.0,,,,,,,,1.0,1.0,,,,1.0,,4.0,40,2.0,2.0,,,41,81
Josh Minott,16,2.0,1.0,2.0,,4.0,0.16666666666666666,2.0,1.0,,,,,,1.0,,1.0,,,,,,1.0,,,36,2.0,,,,34,70
Jordan Walsh,15,,,,,1.0,,3.0,,,,,1.0,,,,,,,,,,,,,29,,,,,31,60
Alec Burks,15,6.0,,,2.0,3.0,1.0,5.0,,1.0,,,1.0,,,,,,,,,,,,,27,,,6.0,,26,53
Kobe Brown,15,16.0,6.0,7.0,1.0,1.0,1.0,11.0,1.0,,,,3.0,,,,,,,,,,,,1.0,31,10.0,2.0,3.0,,31,62
Kyle Anderson,14,,,2.0,,,,2.0,,1.0,,,,,1.0,,1.0,,,,,,1.0,,,29,,,,,30,59
Pat Connaughton,14,6.0,1.0,4.0,1.0,4.0,0.3333333333333333,2.0,1.0,,,,,,,,,1.0,,,,,1.0,,2.0,25,2.0,,3.0,,24,49
JD Davison,13,4.0,,6.0,1.0,2.0,0.2222222222222222,6.0,3.0,,,,,,1.0,,,,,1.0,,,1.0,,2.0,26,,,3.0,,27,53
Drew Eubanks,13,4.0,,2.0,,,0.4,,,,,,,,,,,,,,,,,,6.0,28,,,,,27,55
Jordan Miller,13,7.0,3.0,6.0,,1.0,0.4375,8.0,4.0,,,,,1.0,,,,,,,,,,,2.0,28,4.0,2.0,,,27,55
Cam Christie,13,5.0,1.0,1.0,1.0,2.0,0.8333333333333334,,,,,,,,1.0,,1.0,,,,,,1.0,,,28,,2.0,3.0,,27,55
Leonard Miller,13,13.0,5.0,7.0,1.0,1.0,0.8125,,,,,,,,,,,1.0,,,,1.0,1.0,,,31,6.0,4.0,3.0,,28,59
Neemias Queta,13,10.0,5.0,6.0,,,0.8333333333333334,6.0,,,,,2.0,1.0,,,,,,,,,,,,25,6.0,4.0,,,26,51
Chuma Okeke,13,3.0,,,1.0,4.0,0.375,3.0,,,,1.0,,,,,,,,,,,,,,24,,,3.0,,26,50
James Johnson,13,5.0,2.0,2.0,,1.0,0.625,5.0,,1.0,,1.0,,1.0,,,,1.0,,,,,1.0,,2.0,28,,4.0,,,28,56
Lamar Stevens,12,4.0,2.0,6.0,,3.0,0.2222222222222222,3.0,,,,,1.0,,,,,1.0,1.0,,,,1.0,,,28,4.0,,,,28,56
Luka Garza,12,9.0,3.0,3.0,1.0,1.0,1.125,,,,,,,,,,,,,,,,,,,25,2.0,4.0,3.0,,24,49
Goga Bitadze,11,2.0,1.0,1.0,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,19,2.0,,,,20,39
Vlatko Čančar,11,,,,,,,,,,,,,,2.0,,,,,2.0,,,2.0,,,22,,,,,23,45
Rob Dillingham,10,1.0,,2.0,,1.0,0.125,11.0,3.0,,1.0,,1.0,,,,,,,,,,,,2.0,22,,,,,22,44
Reed Sheppard,10,,,,,2.0,,3.0,,,,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,24,,,,,24,48
Xavier Tillman,8,2.0,1.0,2.0,,2.0,0.25,,,,,,,,,,,,,,,,,,,16,2.0,,,,16,32
Keshad Johnson,8,2.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,,16,2.0,,,,14,30
Cam Whitmore,5,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,15,,,,,14,29
Jeff Green,5,3.0,,2.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,15,,,3.0,,14,29
Tristan da Silva,5,,,,,1.0,,3.0,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,2.0,,,12,,,,,10,22
Maxi Kleber,5,2.0,,,,1.0,0.5,,,,,,,,,,,1.0,,,1.0,,1.0,,2.0,9,,,,,9,18
Nate Williams,5,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,1.0,,,14,,,,,13,27
Jock Landale,5,2.0,1.0,2.0,,,0.5,,,,,,,,,,,,,,,,,,,10,2.0,,,,11,21
Andre Jackson Jr.,5,,,,,1.0,,,,,,,,,,,,,,,,,,,,8,,,,,8,16
Chris Livingston,5,,,,,1.0,,,,,,,,,,,,,,,,,,,,7,,,,,8,15
Tyler Kolek,5,3.0,,,1.0,1.0,1.5,,,,,,,,,,,,,,,,,,,9,,,3.0,,10,19
P.J. Tucker,4,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,9,18
Jett Howard,4,6.0,,,2.0,2.0,1.5,,,,,,,,,,,,,,,,,,,9,,,3.0,3.0,8,17
Patty Mills,4,3.0,,1.0,1.0,1.0,0.75,,,,,,,,,1.0,,1.0,,,,,1.0,,,8,,,3.0,,8,16
Shake Milton,4,,,1.0,,,,,,,,,,,,,,,,,,,,,,6,,,,,6,12
Dalton Knecht,4,5.0,1.0,1.0,1.0,4.0,0.5,,,,,,,,,,,,,,,,,,,6,,2.0,3.0,,6,12
Bronny James,4,,,,,2.0,,,,,,,,,,,,,,,,,,,,6,,,,,6,12
Alex Len,4,,,1.0,,,,,,,,,,,,,,,,,,,,,,6,,,,,6,12
Delon Wright,4,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,6,12
Pacôme Dadiet,3,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,4,2.0,,,,5,9
Ariel Hukporti,2,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,4,2.0,,,,3,7
